entity,agency,date,action_type,from_rating,to_rating,rationale_url,notes,source
Piramal Enterprises,CRISIL,2019-10-15,outlook_negative,AA,AA,,Contagion fears from real estate NBFC exposure,seed
Piramal Enterprises,ICRA,2020-05-20,downgrade,AA,AA-,,COVID impact on wholesale lending book; restructuring concerns,seed
Piramal Enterprises,CRISIL,2020-08-12,downgrade,AA,AA-,,Further pressure from real estate sector stress,seed
Lakshmi Vilas Bank,ICRA,2019-09-27,downgrade,A-,BB+,,Severe capital adequacy shortfall; sub-investment grade,seed
Lakshmi Vilas Bank,CARE,2019-11-15,downgrade,BB+,B,,Further deterioration; promoter capital infusion fails,seed
Lakshmi Vilas Bank,ICRA,2020-09-29,downgrade,B,D,,RBI imposes moratorium; amalgamated with DBS India Nov 2020,seed
PMC Bank,ICRA,2019-09-24,downgrade,A,D,,RBI restricts withdrawals after HDIL exposure fraud discovered,seed
Bajaj Finance,CRISIL,2020-04-22,outlook_negative,AAA,AAA,,Even AAA-rated NBFCs face outlook pressure during COVID first wave,seed
Bajaj Finance,CRISIL,2020-10-15,outlook_positive,AAA,AAA,,Outlook restored as collection efficiency recovers post-lockdown,seed
Shriram Finance,ICRA,2020-06-15,outlook_negative,AA+,AA+,,COVID impact on vehicle finance collections; migrant worker disruption,seed
Shriram Finance,CRISIL,2021-03-10,outlook_positive,AA+,AA+,,Recovery in vehicle sales and collections; outlook restored,seed
Mahindra Finance,ICRA,2020-05-28,outlook_negative,AAA,AAA,,Rural NBFC faces collection challenges from lockdown disruption,seed
Mahindra Finance,CARE,2021-07-12,outlook_positive,AAA,AAA,,Strong recovery in rural economy supports outlook restoration,seed
Cholamandalam Investment,CRISIL,2020-04-30,outlook_negative,AA+,AA+,,COVID impact on vehicle and home equity lending books,seed
Cholamandalam Investment,CRISIL,2021-06-20,upgrade,AA+,AAA,,Upgraded to AAA post-COVID; strong capital adequacy and diversification,seed
L&T Finance,ICRA,2020-07-08,outlook_negative,AAA,AAA,,Infra book stress and COVID impact on retail lending,seed
L&T Finance,CARE,2022-01-18,outlook_positive,AAA,AAA,,Pivot to retail lending and infra book rundown improves profile,seed
Muthoot Finance,CRISIL,2020-08-05,upgrade,AA,AA+,,Gold loan NBFCs benefit as gold prices surge during COVID,seed
Muthoot Finance,ICRA,2022-06-15,upgrade,AA+,AAA,,Consistent performance and strong asset quality earns top rating,seed
Manappuram Finance,CARE,2020-09-10,upgrade,AA-,AA,,Gold price surge and strong collection rates drive upgrade,seed
CreditAccess Grameen,ICRA,2020-04-14,outlook_negative,A+,A+,,Microfinance sector hit hardest by COVID lockdown; collections halt,seed
CreditAccess Grameen,CARE,2021-09-20,outlook_positive,A+,A+,,Microfinance recovery as rural economy normalizes,seed
Fusion Micro Finance,CARE,2020-05-18,outlook_negative,A-,A-,,New-age MFI faces collection disruption from COVID lockdown,seed
Sundaram Finance,CRISIL,2020-06-10,outlook_negative,AAA,AAA,,Even strongest vehicle finance NBFC faces outlook revision,seed
Sundaram Finance,CRISIL,2021-09-08,outlook_positive,AAA,AAA,,Full recovery; vehicle sales normalize by H1 FY22,seed
IIFL Finance,ICRA,2020-07-22,outlook_negative,AA-,AA-,,Diversified NBFC faces wholesale book stress and COVID impact,seed
IIFL Finance,CARE,2024-03-04,watchlist_negative,AA-,AA-,,RBI bars IIFL Finance gold loan business; supervisory concerns,seed
JM Financial,ICRA,2020-06-25,outlook_negative,AA,AA,,Wholesale lending exposure to real estate creates stress,seed
JM Financial,CARE,2024-03-14,watchlist_negative,AA,AA,,RBI restricts JM Financial ARC from loan acquisition,seed
